participant_id,plan_type,industry,region,age,tenure_years,annual_salary,contribution_rate,annual_contribution,account_balance,plan_funded_ratio,projected_balance_at_65,est_monthly_benefit,replacement_ratio,readiness
100041,Annuity,Construction,Southwest,61,15.7,66303,0.0663,4396,80919,0.87,121389,2062,0.373,Off Track
100042,401(k),Healthcare,Midwest,46,28,31460,0.0776,2441,71506,0.812,298757,1996,0.761,On Track
100043,Defined Benefit Pension,Education,Southwest,53,22.9,78395,0.0602,4719,116283,0.775,313593,6425,0.984,On Track
100044,Annuity,Manufacturing,Midwest,65,22,28000,0.0568,1590,55288,0.802,55288,1184,0.508,Off Track
100045,401(k),Healthcare,Northeast,37,18.7,52814,0.0755,3987,102631,0.742,797839,3980,0.904,On Track
100046,Defined Benefit Pension,Transportation,Southwest,72,7.2,94050,0.0851,8004,66753,0.875,66753,3402,0.434,Off Track
100047,Defined Benefit Pension,Public Sector,West,39,6,28000,0.0572,1602,500,0.872,97043,2443,1.047,On Track
100048,401(k),Manufacturing,Southeast,59,6.1,90788,0.1111,10087,88760,0.744,196268,2924,0.386,Off Track
100049,Defined Benefit Pension,Manufacturing,Southwest,48,2.9,39354,0.0663,2609,27986,0.961,148967,2475,0.755,On Track
100050,Defined Benefit Pension,Education,Northeast,47,19.6,55467,0.02,1109,63592,0.772,215788,4713,1.02,On Track
100051,Defined Benefit Pension,Manufacturing,Southwest,32,23.7,111384,0.0463,5157,115848,0.857,1294467,12217,1.316,On Track
100052,401(k),Transportation,Midwest,59,15.5,54446,0.0895,4873,92262,0.959,164866,1911,0.421,Off Track
100053,401(k),Retail,Midwest,33,18.4,117185,0.1034,12117,222505,1.014,2537222,10791,1.105,On Track
100054,401(k),Construction,Northeast,31,14.3,63453,0.0463,2938,28157,0.576,510259,3287,0.622,At Risk
100055,401(k),Education,Northeast,62,16.6,69631,0.0805,5605,111994,0.963,151231,2245,0.387,Off Track
100056,401(k),Education,West,69,0,95583,0.0838,8010,13631,0.888,13631,2379,0.299,Off Track
100057,401(k),Healthcare,Midwest,40,14.5,87234,0.1667,14542,201029,0.917,1660630,7716,1.061,On Track
100058,Defined Benefit Pension,Retail,Northeast,60,8.6,76315,0.0427,3259,20133,0.801,45314,3356,0.528,Off Track
100059,Defined Benefit Pension,Education,West,58,11.7,59027,0.0574,3388,27922,0.944,70423,3090,0.628,At Risk
100060,401(k),Manufacturing,West,47,13.8,28576,0.0601,1717,15963,0.986,98629,1329,0.558,At Risk
100061,401(k),Construction,Southeast,64,6.3,29939,0.0873,2614,16704,0.927,20320,1068,0.428,Off Track
100062,401(k),Healthcare,West,46,3.4,108769,0.1138,12378,43363,0.96,549080,4164,0.459,Off Track
100063,401(k),Manufacturing,Southwest,54,6,119584,0.0298,3564,22599,1.084,96259,2654,0.266,Off Track
100064,401(k),Healthcare,Midwest,33,0.4,75628,0.02,1513,12014,1.026,215047,2608,0.414,Off Track
100065,401(k),Transportation,Southeast,33,2.8,28000,0.0456,1277,1037,0.779,122758,1409,0.604,At Risk
100066,401(k),Public Sector,Southwest,62,3.9,50376,0.1029,5184,13539,0.943,32629,1368,0.326,Off Track
100067,Defined Benefit Pension,Construction,Southwest,55,0.5,48987,0.0561,2748,500,0.991,37116,1991,0.488,Off Track
100068,Defined Benefit Pension,Healthcare,Midwest,46,16.2,56438,0.0564,3183,51384,0.895,262925,4771,1.014,On Track
100069,401(k),Healthcare,Midwest,71,4.8,47228,0.1133,5351,64800,0.936,64800,1397,0.355,Off Track
100070,Defined Benefit Pension,Transportation,Southwest,71,0,86577,0.0789,6831,3889,0.674,3889,2177,0.302,Off Track
100071,Defined Benefit Pension,Retail,Northeast,53,8.8,78927,0.0619,4886,75219,0.851,233782,4805,0.73,On Track
100072,Annuity,Education,Southeast,31,3.1,116242,0.0231,2685,500,0.826,283359,3278,0.338,Off Track
100073,Defined Benefit Pension,Education,Midwest,47,23.7,61104,0.0685,4186,95401,0.743,401678,5922,1.163,On Track
100074,Defined Benefit Pension,Healthcare,West,38,13.1,77605,0.0334,2592,7312,0.974,200386,6488,1.003,On Track
100075,Defined Benefit Pension,Education,West,49,0.2,92752,0.0385,3571,500,0.715,92947,4507,0.583,At Risk
100076,Defined Benefit Pension,Manufacturing,Southeast,37,16.5,100607,0.0633,6368,113496,0.97,1016543,10752,1.282,On Track
100077,401(k),Transportation,Southwest,34,12.7,37423,0.1227,4592,75236,0.84,847454,3825,1.226,On Track
100078,401(k),Retail,West,22,10.1,83336,0.0692,5767,61394,0.995,1523994,7163,1.031,On Track
100079,401(k),Manufacturing,Midwest,50,24.6,76106,0.0666,5069,159667,0.905,500637,3571,0.563,At Risk
100080,401(k),Healthcare,Southwest,22,4.2,80478,0.0658,5295,15508,0.876,978976,5275,0.787,On Track
100081,Defined Benefit Pension,Public Sector,Northeast,44,20.3,73670,0.0573,4221,85843,0.854,460638,7061,1.15,On Track
100082,401(k),Manufacturing,West,56,8.7,119960,0.0566,6790,59982,0.803,179364,2931,0.293,Off Track
100083,Defined Benefit Pension,Transportation,Southwest,39,11.9,47057,0.0631,2969,60522,0.886,450973,4909,1.252,On Track
100084,Defined Benefit Pension,Education,West,35,6,45400,0.0753,3419,33149,0.611,460691,4714,1.246,On Track
100085,Defined Benefit Pension,Retail,Midwest,47,6.5,49013,0.068,3333,18389,0.822,155497,3245,0.794,On Track
100086,401(k),Healthcare,Southeast,38,8.5,63874,0.0783,5001,43142,0.935,526638,3352,0.63,At Risk
100087,401(k),Public Sector,Southeast,50,0,80213,0.1336,10716,15358,0.848,286232,2959,0.443,Off Track
100088,Defined Benefit Pension,Manufacturing,Midwest,36,14.8,59228,0.0537,3181,37773,0.966,438917,5905,1.196,On Track
100089,401(k),Public Sector,Southwest,47,12.9,100177,0.0693,6942,105698,0.763,516245,4054,0.486,Off Track
100090,Defined Benefit Pension,Public Sector,Midwest,44,0,71902,0.049,3523,500,0.738,142594,4160,0.694,At Risk
100091,401(k),Manufacturing,Northeast,48,17.3,69301,0.0598,4144,100298,0.874,386994,3023,0.523,Off Track
100092,401(k),Education,Midwest,68,23.7,34753,0.0463,1609,47292,0.787,47292,1158,0.4,Off Track
100093,Defined Benefit Pension,Manufacturing,Northeast,50,6.7,122991,0.1032,12693,110036,0.928,559150,7533,0.735,On Track
100094,Defined Benefit Pension,Transportation,Southwest,54,5.7,70671,0.0622,4396,15868,0.802,95938,3562,0.605,At Risk
100095,401(k),Healthcare,Midwest,41,20.9,117839,0.1316,15508,324022,0.884,2099992,9333,0.95,On Track
100096,Defined Benefit Pension,Manufacturing,Southeast,51,15.2,54577,0.0238,1299,4035,0.571,36421,3478,0.765,On Track
100097,Defined Benefit Pension,Education,West,45,10.9,95257,0.0534,5087,76184,0.822,431461,7451,0.939,On Track
100098,Defined Benefit Pension,Manufacturing,Midwest,48,18.5,56247,0.083,4669,109745,0.823,427244,5326,1.136,On Track
100099,Annuity,Manufacturing,Midwest,56,14.2,122933,0.0879,10806,203985,0.65,468804,3896,0.38,Off Track
100100,Annuity,Healthcare,Midwest,42,23.4,103382,0.0471,4869,136372,0.887,749730,4832,0.561,At Risk
100101,401(k),Education,Southwest,43,11.9,95787,0.0952,9119,119682,0.844,826973,5090,0.638,At Risk
100102,Defined Benefit Pension,Manufacturing,Southwest,42,15.4,51708,0.0778,4023,64296,0.759,434659,5224,1.212,On Track
100103,Annuity,Public Sector,Southeast,42,20.8,125386,0.081,10156,251449,1.014,1437762,7126,0.682,At Risk
100104,401(k),Construction,Southeast,50,0,129063,0.0739,9538,9381,0.741,244488,3148,0.293,Off Track
100105,401(k),Public Sector,Southwest,44,21.1,61370,0.0692,4247,87701,0.969,467994,3094,0.605,At Risk
100106,401(k),Construction,West,66,8,76527,0.0958,7331,72558,0.847,72558,2155,0.338,Off Track
100107,Defined Benefit Pension,Education,Northeast,80,16,97951,0.0935,9158,218062,0.973,218062,5019,0.615,At Risk
100108,Defined Benefit Pension,Retail,Midwest,41,25.3,28000,0.0519,1453,41039,0.927,239999,3200,1.371,On Track
100109,Annuity,Retail,Northeast,52,9.6,104084,0.0378,3934,57577,0.626,197090,2990,0.345,Off Track
100110,401(k),Transportation,Northeast,60,8.4,100663,0.0635,6392,78036,0.737,140462,2802,0.334,Off Track
100111,Defined Benefit Pension,Education,Northeast,45,11.6,56232,0.0715,4021,40425,0.76,277563,4552,0.971,On Track
100112,Defined Benefit Pension,Construction,Southeast,36,0.4,28000,0.0871,2439,500,1.14,182317,2637,1.13,On Track
100113,401(k),Healthcare,Northeast,69,29.6,81329,0.0824,6702,243066,0.983,243066,2843,0.42,Off Track
100114,Defined Benefit Pension,Transportation,Southwest,56,11.7,40257,0.0548,2206,32128,1.037,79629,2314,0.69,At Risk
100115,Annuity,Retail,Midwest,52,25.2,28000,0.0564,1579,74119,0.725,187905,1626,0.697,At Risk
100116,401(k),Retail,Midwest,65,9.3,82380,0.0884,7282,87194,0.884,87194,2350,0.342,Off Track
100117,401(k),Healthcare,Southwest,57,12.3,108903,0.0464,5053,78453,0.772,175054,2917,0.321,Off Track
100118,401(k),Education,Southwest,47,19.6,65870,0.0974,6416,149492,1.05,624992,3730,0.68,At Risk
100119,401(k),Education,Southwest,36,3.2,105184,0.1016,10687,35316,0.92,978344,5594,0.638,At Risk
100120,401(k),Public Sector,Northeast,42,11.2,90596,0.0316,2863,16054,0.833,195871,2918,0.386,Off Track
100121,401(k),Public Sector,West,62,19.3,33551,0.0444,1490,26977,0.781,36874,1123,0.402,Off Track
100122,Defined Benefit Pension,Public Sector,Southwest,56,10.3,56485,0.0519,2932,33547,0.941,90369,3076,0.653,At Risk
100123,Defined Benefit Pension,Transportation,Northeast,46,8.1,102220,0.0565,5775,75549,0.903,423545,7208,0.846,On Track
100124,Defined Benefit Pension,Construction,Southwest,69,20.9,56257,0.102,5738,183195,0.821,183195,3487,0.744,On Track
100125,401(k),Manufacturing,Southwest,46,23.2,94935,0.079,7500,175377,0.77,783821,4946,0.625,At Risk
100126,Defined Benefit Pension,Healthcare,Southwest,60,24.5,60516,0.0318,1924,80025,0.94,117937,4138,0.82,On Track
100127,Defined Benefit Pension,Transportation,Southeast,51,6.6,92195,0.0414,3817,55471,0.855,205629,5364,0.698,At Risk
100128,Defined Benefit Pension,Public Sector,Northeast,71,7.4,84015,0.0646,5427,61935,0.782,61935,3084,0.44,Off Track
100129,401(k),Healthcare,West,57,8.2,65048,0.0608,3955,31873,0.887,89945,1926,0.355,Off Track
100130,Defined Benefit Pension,Construction,West,49,17.7,91406,0.0583,5329,111862,0.949,420978,7539,0.99,On Track
100131,Annuity,Education,West,46,2.4,28000,0.0403,1128,26577,0.861,118493,1395,0.598,At Risk
100132,401(k),Education,Southeast,48,2.9,41601,0.0352,1464,500,0.939,42650,1182,0.341,Off Track
100133,Defined Benefit Pension,Construction,Northeast,39,6.3,59018,0.034,2007,7267,0.755,151787,4364,0.887,On Track
100134,401(k),Manufacturing,Southwest,32,4.5,104836,0.1135,11899,58855,1.038,1560889,7536,0.863,On Track
100135,Defined Benefit Pension,Retail,Midwest,52,19.1,31507,0.057,1796,35420,0.759,109461,2629,1.001,On Track
100136,Annuity,Public Sector,Southwest,42,18.5,71029,0.0805,5718,90535,0.927,614543,3824,0.646,At Risk
100137,401(k),Public Sector,Southwest,42,8.1,80888,0.1233,9973,69308,0.845,733429,4467,0.663,At Risk
100138,401(k),Retail,Midwest,47,10.4,78931,0.0594,4689,35000,0.748,244818,2789,0.424,Off Track
100139,Defined Benefit Pension,Manufacturing,Southeast,49,0,69240,0.0566,3919,500,0.816,101881,3455,0.599,At Risk
100140,401(k),Retail,Southwest,48,8.3,54624,0.1068,5834,83431,1.07,389255,2663,0.585,At Risk
100141,401(k),Manufacturing,West,69,22,65093,0.0823,5357,180167,0.744,180167,2228,0.411,Off Track
100142,Annuity,Transportation,West,56,7.9,99293,0.0751,7457,74488,0.744,211537,3038,0.367,Off Track
100143,401(k),Construction,Southwest,73,3.3,52727,0.1203,6343,38552,0.756,38552,1447,0.329,Off Track
100144,401(k),Education,Southeast,43,23,28000,0.0592,1658,44259,0.979,231433,1771,0.759,On Track
100145,Defined Benefit Pension,Healthcare,Southeast,57,3.1,85053,0.0658,5596,19101,0.882,85830,3593,0.507,Off Track
100146,Defined Benefit Pension,Transportation,Northeast,43,24.4,113884,0.0799,9099,239327,0.812,1257250,12218,1.287,On Track
100147,401(k),Public Sector,Southeast,41,35.1,42566,0.0687,2924,105727,0.825,576666,2986,0.842,On Track
100148,401(k),Public Sector,Midwest,74,11.1,110101,0.066,7267,96510,0.807,96510,2655,0.289,Off Track
100149,Defined Benefit Pension,Education,Midwest,39,22,86579,0.0864,7480,177360,0.837,1249368,10658,1.477,On Track
100150,Annuity,Retail,Northeast,22,0,39622,0.0454,1799,500,0.732,283560,1945,0.589,At Risk
100151,Annuity,Retail,Southwest,40,0,52296,0.0336,1757,500,0.696,98543,1636,0.375,Off Track
100152,Defined Benefit Pension,Manufacturing,Midwest,24,5.6,51069,0.0757,3866,25925,0.888,864967,6713,1.577,On Track
100153,401(k),Education,Midwest,37,18.6,76733,0.1121,8602,139516,0.786,1302641,6260,0.979,On Track
100154,Defined Benefit Pension,Construction,Southwest,38,12,66924,0.0812,5434,51068,0.91,592445,6910,1.239,On Track
100155,401(k),Retail,Midwest,48,10.5,102956,0.0673,6929,82944,0.88,418836,3729,0.435,Off Track
100156,Defined Benefit Pension,Construction,Southwest,23,1.7,95782,0.0573,5488,500,1,854477,9971,1.249,On Track
100157,401(k),Public Sector,Southeast,62,11,28732,0.1005,2888,33306,0.879,48862,1163,0.486,Off Track
100158,401(k),Education,Southwest,25,6.9,32269,0.0559,1804,24023,0.931,526284,2754,1.024,On Track
100159,401(k),Healthcare,Southwest,46,4.6,89200,0.0915,8162,38000,0.793,390522,3532,0.475,Off Track
100160,Defined Benefit Pension,Education,West,44,3.9,57568,0.0635,3656,4892,0.657,162844,3774,0.787,On Track
100161,Annuity,Retail,Southwest,58,13.5,67103,0.0361,2422,54511,0.829,102294,2019,0.361,Off Track
100162,Defined Benefit Pension,Construction,West,52,6.2,87304,0.0654,5710,15873,0.797,141673,4750,0.653,At Risk
100163,Defined Benefit Pension,Retail,West,62,11.9,96037,0.0487,4677,50540,0.743,75084,4372,0.546,Off Track
100164,401(k),Construction,West,44,0,37465,0.0707,2649,500,0.96,107641,1359,0.435,Off Track
100165,Defined Benefit Pension,Healthcare,Southwest,42,16,28000,0.0525,1470,14829,0.821,125727,2784,1.193,On Track
100166,Annuity,Public Sector,West,53,13.9,68832,0.02,1377,500,0.9,24236,1802,0.314,Off Track
100167,401(k),Manufacturing,West,60,10.1,48064,0.0741,3562,73094,0.722,117896,1595,0.398,Off Track
100168,Defined Benefit Pension,Retail,Northeast,58,13.3,73855,0.0717,5295,51873,0.883,122443,4129,0.671,At Risk
100169,Annuity,Retail,Southwest,52,19.5,69519,0.0839,5833,139023,0.975,406666,3094,0.534,Off Track
100170,Defined Benefit Pension,Construction,West,51,0.4,44689,0.0538,2404,500,1.099,51651,2094,0.562,At Risk
100171,401(k),Transportation,Northeast,48,12.5,130432,0.0553,7213,105006,0.693,486257,3954,0.364,Off Track
100172,Defined Benefit Pension,Public Sector,Southeast,53,1.6,72476,0.0331,2399,500,0.896,41477,3182,0.527,Off Track
100173,Annuity,Manufacturing,Southeast,72,12.7,55935,0.0532,2976,49682,0.69,49682,1564,0.336,Off Track
100174,Defined Benefit Pension,Manufacturing,Southeast,45,9.9,74840,0.0645,4827,35709,0.712,292088,5642,0.905,On Track
100175,Defined Benefit Pension,Construction,Southwest,44,11.8,86837,0.0359,3117,58055,0.893,322019,6805,0.94,On Track
100176,401(k),Public Sector,Midwest,43,18.8,54289,0.0601,3263,45200,0.909,304469,2372,0.524,Off Track
100177,Annuity,Public Sector,Midwest,53,18.5,136967,0.0459,6287,134945,0.951,377597,3592,0.315,Off Track
100178,Annuity,Manufacturing,West,23,20.7,29368,0.0496,1457,62271,0.843,865990,3887,1.588,On Track
100179,401(k),Manufacturing,Southeast,46,8.8,31314,0.0544,1703,28542,1.003,143850,1480,0.567,At Risk
100180,Annuity,Public Sector,Southwest,59,17.6,28000,0.0249,697,500,0.951,5571,1019,0.437,Off Track
100181,Annuity,Education,West,42,16.1,72109,0.0347,2502,64501,0.851,363961,3016,0.502,Off Track
100182,401(k),Transportation,Southeast,50,9,85243,0.0449,3827,45399,0.946,197878,2791,0.393,Off Track
100183,Defined Benefit Pension,Construction,West,73,12.9,62747,0.092,5773,94826,0.817,94826,2897,0.554,At Risk
100184,401(k),Manufacturing,Midwest,52,10.9,85159,0.0389,3313,53684,0.99,177061,2719,0.383,Off Track
100185,401(k),Healthcare,Southeast,22,23.2,84784,0.0748,6342,150954,0.891,2534171,10567,1.496,On Track
100186,Defined Benefit Pension,Construction,Southwest,31,18.5,61899,0.0593,3671,54437,0.83,777183,7233,1.402,On Track
100187,Defined Benefit Pension,Healthcare,Southeast,45,9.3,83967,0.0469,3938,34761,0.774,256345,6029,0.862,On Track
100188,401(k),Healthcare,Northeast,38,8.8,66500,0.0879,5845,46900,0.834,598528,3658,0.66,At Risk
100189,Defined Benefit Pension,Education,Midwest,49,19.7,60547,0.0816,4941,120270,0.898,432376,5657,1.121,On Track
100190,Annuity,Construction,Midwest,44,22.7,58042,0.0457,2653,79826,0.86,377474,2709,0.56,At Risk
100191,Defined Benefit Pension,Healthcare,Northeast,62,14.5,78525,0.0767,6023,121240,0.946,163574,4226,0.646,At Risk
100192,Defined Benefit Pension,Manufacturing,West,35,17.3,106098,0.0635,6737,104954,0.822,1135417,11423,1.292,On Track
100193,Annuity,Healthcare,Southeast,46,22.4,38259,0.0223,853,49876,0.925,179702,1599,0.502,Off Track
100194,Defined Benefit Pension,Manufacturing,Northeast,51,10.6,58552,0.0368,2155,15071,0.576,79362,3529,0.723,On Track
100195,Defined Benefit Pension,Public Sector,Midwest,52,12.7,76555,0.0608,4655,73274,0.827,244185,5187,0.813,On Track
100196,401(k),Public Sector,Northeast,50,15.9,121192,0.0622,7538,136355,0.819,502237,4007,0.397,Off Track
100197,Annuity,Retail,West,22,8.6,84087,0.0585,4919,20570,0.62,972851,5345,0.763,On Track
100198,Defined Benefit Pension,Education,Northeast,49,25.6,49244,0.0662,3260,102829,0.977,344914,4843,1.18,On Track
100199,Defined Benefit Pension,Manufacturing,Midwest,46,8.5,46131,0.0663,3058,30316,0.856,194962,3389,0.882,On Track
100200,401(k),Transportation,Northeast,58,12.5,99583,0.0967,9630,160804,0.918,322622,3409,0.411,Off Track
100201,Annuity,Construction,Southeast,57,27.3,63218,0.0438,2769,92858,0.812,175408,2165,0.411,Off Track
100202,401(k),Retail,Southwest,51,0,37535,0.0226,848,3488,0.957,25707,1086,0.347,Off Track
100203,Defined Benefit Pension,Healthcare,West,52,13.7,100386,0.0524,5260,117482,0.871,349901,6850,0.819,On Track
100204,Defined Benefit Pension,Retail,Midwest,64,6.7,80629,0.0725,5846,51156,0.935,60071,2992,0.445,Off Track
100205,Defined Benefit Pension,Healthcare,Northeast,62,12,38564,0.0677,2611,16407,0.878,27853,1816,0.565,At Risk
100206,Defined Benefit Pension,Healthcare,Southeast,51,2.4,34471,0.0826,2847,21869,0.918,109274,2071,0.721,On Track
100207,401(k),Manufacturing,Southeast,74,9,28000,0.1214,3399,55978,0.872,55978,1187,0.509,Off Track
100208,Defined Benefit Pension,Construction,Midwest,40,12.2,54573,0.0568,3100,19264,0.907,252759,4744,1.043,On Track
100209,401(k),Manufacturing,Southeast,34,13.9,80528,0.1088,8761,97650,0.869,1337451,6471,0.964,On Track
100210,401(k),Retail,Southwest,48,19.2,98896,0.0788,7793,161615,0.673,655055,4517,0.548,Off Track
100211,401(k),Manufacturing,West,44,0,83898,0.091,7635,500,0.685,307044,3121,0.446,Off Track
100212,Defined Benefit Pension,Public Sector,Southeast,22,11,35465,0.0458,1624,9768,0.799,351804,3946,1.335,On Track
100213,401(k),Manufacturing,Northeast,40,10.6,64056,0.0811,5195,54427,0.992,518615,3330,0.624,At Risk
100214,401(k),Public Sector,Midwest,52,11.5,112023,0.0718,8043,107190,0.859,380498,3602,0.386,Off Track
100215,401(k),Public Sector,Midwest,47,12.3,57661,0.0832,4797,85175,0.7,391373,2746,0.571,At Risk
100216,Defined Benefit Pension,Construction,West,39,5.4,93528,0.0629,5883,65123,0.825,644286,8152,1.046,On Track
100217,Defined Benefit Pension,Healthcare,Midwest,49,0,90070,0.0547,4927,500,0.808,127759,4479,0.597,At Risk
100218,Annuity,Public Sector,West,49,13.7,93275,0.0372,3470,56493,0.833,232596,3107,0.4,Off Track
100219,Defined Benefit Pension,Public Sector,Southwest,57,4,84073,0.0633,5322,43518,0.947,122035,3770,0.538,Off Track
100220,Defined Benefit Pension,Transportation,Midwest,40,15.2,93189,0.0249,2320,56146,0.922,368257,8217,1.058,On Track
100221,401(k),Education,West,58,4.5,30517,0.063,1923,500,0.984,16893,1056,0.415,Off Track
100222,401(k),Construction,Southeast,35,17.5,114429,0.0576,6591,118587,0.83,1202176,6341,0.665,At Risk
100223,Annuity,Education,Southwest,42,11.6,28000,0.0516,1445,32338,0.906,191432,1638,0.702,On Track
100224,Defined Benefit Pension,Manufacturing,Midwest,68,12.1,80731,0.0634,5118,72085,0.978,72085,3480,0.517,Off Track
100225,Annuity,Transportation,West,36,10,70643,0.0682,4818,38522,0.851,563524,3644,0.619,At Risk
100226,Defined Benefit Pension,Healthcare,Southwest,40,8.7,54482,0.0622,3389,44381,0.622,376413,4912,1.082,On Track
100227,401(k),Construction,Southeast,33,10.1,44696,0.0905,4045,33561,0.821,584231,3065,0.823,On Track
100228,401(k),Retail,Northeast,38,21.5,87393,0.07,6118,146936,1.069,1098328,5846,0.803,On Track
100229,Defined Benefit Pension,Manufacturing,Southeast,50,0,94437,0.0451,4259,25596,0.896,160475,4639,0.589,At Risk
100230,Defined Benefit Pension,Retail,Southeast,56,6.8,69114,0.0594,4105,36241,0.867,108400,3454,0.6,At Risk
100231,Defined Benefit Pension,Healthcare,Northeast,48,20.5,63901,0.0531,3393,73181,0.787,292786,5569,1.046,On Track
100232,Annuity,Public Sector,Midwest,44,18.6,107880,0.0394,4250,96106,0.8,496688,3989,0.444,Off Track
100233,401(k),Healthcare,Southeast,33,22.7,60192,0.1201,7229,171579,0.876,1764308,7386,1.472,On Track
100234,Annuity,Healthcare,Northeast,39,11.5,70819,0.02,1416,9722,0.958,127995,2197,0.372,Off Track
100235,401(k),Transportation,Northeast,29,1.5,66299,0.1383,9169,14735,0.685,1212269,5698,1.031,On Track
100236,401(k),Transportation,Southeast,57,3.1,141182,0.02,2824,22481,0.735,63782,2546,0.216,Off Track
100237,401(k),Public Sector,Southeast,58,9.6,48481,0.0797,3864,48817,0.897,105837,1565,0.387,Off Track
100238,Defined Benefit Pension,Manufacturing,Southwest,48,18.1,95280,0.0542,5164,95499,0.87,402848,7857,0.989,On Track
